jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,cena,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
8B35-200-062,FIAT,Idea JTD,1.3L D,51HP,Multijet,2003-,KP35,0375S1,5435-970-0005,180.24,8B35200062,0375S1,54359700005,1.3,51
8B35-200-062,FIAT,Doblò JTD,1.3L D,51HP,Multijet,2003-,KP35,0375S1,5435-970-0005,180.24,8B35200062,0375S1,54359700005,1.3,51
8B35-200-062,FIAT,Fiorino III JTD,1.3L D,51HP,Multijet,2003-,KP35,0375S1,5435-970-0005,180.24,8B35200062,0375S1,54359700005,1.3,51
8B35-200-062,LANCIA,Musa JTD,1.3L D,51HP,Multijet,2003-,KP35,1610428080,5435-970-0005,180.24,8B35200062,1610428080,54359700005,1.3,51
8B35-200-062,LANCIA,Ypsilon,1.3L D,51HP,Multijet,2003-,KP35,1610428080,5435-970-0005,180.24,8B35200062,1610428080,54359700005,1.3,51
8B35-200-062,PEUGEOT,Bipper,1.3L Hdi,75HP,1.3 HDI 76,2007-,KP35,93191993,5435-970-0005,180.24,8B35200062,93191993,54359700005,1.3,75
8B35-200-617,OPEL,Corsa 1.3L D,1.3L D,70HP,CDTI,2002,KP35,73501344,5435-970-0006,237.99,8B35200617,73501344,54359700006,1.3,70
8B35-200-617,OPEL,Agila 1.3L D,1.3L D,70HP,CDTI,2002,KP35,860067,5435-988-0006,237.99,8B35200617,860067,54359880006,1.3,70
8B35-200-617,OPEL,Meriva A,1.3L D,70HP,CDTI,2002,KP35,73501344,5435-970-0006,237.99,8B35200617,73501344,54359700006,1.3,70
8B35-200-617,OPEL,Tigra 1.3L D,1.3L D,70HP,CDTI,2002,KP35,860067,5435-988-0006,237.99,8B35200617,860067,54359880006,1.3,70
8B35-200-617,SUZUKI,Swift,1.3L D,70HP,CDTI,2003,KP35,93177409,5435-970-0006,237.99,8B35200617,93177409,54359700006,1.3,70
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2001-2002,KP35,8200119854,5435-970-0002,216.72,8B35200A84,8200119854,54359700002,1.5,82
8B35-200-A84,RENAULT,Kangoo 1.5 dCi,1.5L D,82HP,K9K-702,2002-2004,KP35,8200189536,5435-988-0002,216.72,8B35200A84,8200189536,54359880002,1.5,82
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2004-,KP35,8200351471,5435-970-0002,216.72,8B35200A84,8200351471,54359700002,1.5,82
8B35-200-A84,RENAULT,Kangoo 1.5 dCi,1.5L D,82HP,K9K-702,2004-,KP35,8200409037,5435-988-0002,216.72,8B35200A84,8200409037,54359880002,1.5,82
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2005-,KP35,8200409838,5435-970-0002,216.72,8B35200A84,8200409838,54359700002,1.5,82
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2006-,KP35,8200578338,5435-988-0002,216.72,8B35200A84,8200578338,54359880002,1.5,82
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2005-,KP35,14411-BN701,5435-970-0002,216.72,8B35200A84,14411BN701,54359700002,1.5,82
8B35-200-A84,RENAULT,Clio 1.5 dCi,1.5L D,82HP,K9K-702,2006-,KP35,14411BN701,5435-988-0002,216.72,8B35200A84,14411BN701,54359880002,1.5,82
8B35-200-A85,RENAULT,Passenger Car,1.5L D,86HP,K9K Euro4,2008-,KP35,8200860233,5435-970-0029,239.34,8B35200A85,8200860233,54359700029,1.5,86
8B35-200-A85,RENAULT,Passenger Car,1.5L D,86HP,K9K Euro4,2008-,KP35,8200889694,5435-998-0029,239.34,8B35200A85,8200889694,54359980029,1.5,86
8B35-200-A85,RENAULT,Passenger Car,1.5L D,86HP,K9K Euro4,2003-,KP35,8200478276,5435-988-0012,239.34,8B35200A85,8200478276,54359880012,1.5,86
